"emp_no","first_name","last_name","sex"
420876,"Aloys","Aloia","M"
475152,"Arie","Aloia","F"
33975,"Barry","Aloia","M"
434162,"Bodo","Aloia","M"
472515,"Danai","Aloia","F"
76678,"Doohun","Aloia","F"
210038,"Emdad","Aloia","M"
416018,"Fen","Aloia","F"
36874,"Genki","Aloia","F"
252487,"Gennady","Aloia","M"
413573,"Giordano","Aloia","F"
101964,"Gretta","Aloia","M"
201626,"Guiseppe","Aloia","M"
31963,"Heeju","Aloia","F"
222836,"Ishfaq","Aloia","M"
19314,"JoAnna","Aloia","F"
209371,"Karsten","Aloia","F"
210476,"Kwangho","Aloia","M"
233767,"Maya","Aloia","F"
99732,"Mong","Aloia","M"
439040,"Nakhoon","Aloia","M"
60644,"Nikolaos","Aloia","M"
240999,"Raimond","Aloia","M"
407078,"Rosella","Aloia","F"
221882,"Sahrah","Aloia","M"
484033,"Sanjeeva","Aloia","M"
456007,"Souichi","Aloia","M"
461774,"Vitaly","Aloia","M"
298130,"Vugranam","Aloia","M"
459843,"Weidon","Aloia","M"
231877,"Weijing","Aloia","M"
70420,"Xuejun","Aloia","M"
44154,"Yefim","Aloia","M"
55874,"Younwoo","Aloia","M"
496650,"Arumugam","Aloisi","M"
417152,"Chaitali","Aloisi","F"
477190,"Fan","Aloisi","M"
260088,"Frazer","Aloisi","M"
42074,"Georgy","Aloisi","M"
421336,"Gretta","Aloisi","F"
30508,"Herbert","Aloisi","M"
233532,"Kamakshi","Aloisi","M"
490252,"Kristof","Aloisi","M"
15709,"Lena","Aloisi","F"
261839,"Magy","Aloisi","M"
403562,"Mikhail","Aloisi","F"
72503,"Piyawadee","Aloisi","M"
90151,"Richara","Aloisi","M"
73863,"Somnath","Aloisi","M"
201279,"Tsz","Aloisi","M"
287486,"Xiaopeng","Aloisi","M"
279185,"Xiaoqiu","Aloisi","M"
90193,"Xuedong","Aloisi","F"
427203,"Xuedong","Aloisi","M"
30209,"Yannis","Aloisi","F"
287859,"Yuriy","Aloisi","F"
27795,"Anneli","Alpay","F"
407643,"Arunachalam","Alpay","F"
102410,"Boalin","Alpay","F"
465434,"Dayanand","Alpay","F"
80565,"Ekawit","Alpay","M"
53555,"Elgin","Alpay","M"
66888,"Elvia","Alpay","M"
98890,"Erez","Alpay","F"
40224,"Genevieve","Alpay","M"
61070,"Girolamo","Alpay","M"
484866,"Hatem","Alpay","F"
85365,"Hideyuki","Alpay","M"
295094,"Hitomi","Alpay","F"
52240,"Ibibia","Alpay","M"
219523,"Jaques","Alpay","F"
496446,"Jinpo","Alpay","M"
92933,"Kamakshi","Alpay","M"
21135,"KayLiang","Alpay","M"
441362,"Lihong","Alpay","F"
494487,"Luerbio","Alpay","M"
211081,"Luisa","Alpay","F"
407889,"Mariusz","Alpay","M"
102870,"Marsal","Alpay","F"
437161,"Niclas","Alpay","F"
283622,"Ohad","Alpay","M"
298624,"Rafols","Alpay","F"
101271,"Shawna","Alpay","M"
222029,"Sreenivas","Alpay","M"
492769,"Susanne","Alpay","F"
202349,"Takahiro","Alpay","M"
440864,"Tonia","Alpay","F"
56618,"Vidar","Alpay","M"
298052,"Aleksander","Alpin","F"
241956,"Arch","Alpin","F"
465547,"Bernice","Alpin","M"
227840,"Berry","Alpin","F"
13292,"Bokyung","Alpin","F"
450913,"Carrsten","Alpin","M"
263970,"Chenye","Alpin","F"
105902,"Constantine","Alpin","F"
442362,"Hailing","Alpin","M"
34271,"Insup","Alpin","M"
474815,"Jaroslava","Alpin","F"
45514,"Jessie","Alpin","M"
50948,"Jouko","Alpin","F"
238792,"Kaijung","Alpin","F"
215818,"Krisda","Alpin","M"
79943,"Kwee","Alpin","M"
39377,"Mingzeng","Alpin","M"
76713,"Mitsuyuki","Alpin","F"
14813,"Naftali","Alpin","M"
70525,"Ohad","Alpin","F"
464670,"Ortrun","Alpin","F"
202547,"Patricio","Alpin","M"
488519,"Qiwen","Alpin","M"
67665,"Sergi","Alpin","F"
214801,"Supot","Alpin","M"
224048,"Syozo","Alpin","M"
41129,"Teiji","Alpin","F"
287792,"Tremaine","Alpin","F"
88107,"Valery","Alpin","M"
207062,"Vasilis","Alpin","F"
442053,"Weiwu","Alpin","F"
209765,"Yoshimitsu","Alpin","F"
418000,"Yuichiro","Alpin","M"
10592,"Almudena","Alvarado","M"
80191,"Bouchung","Alvarado","M"
272246,"Boutros","Alvarado","M"
490447,"Demin","Alvarado","F"
106898,"Evgueni","Alvarado","F"
47132,"Freyja","Alvarado","M"
211850,"Isamu","Alvarado","F"
455466,"Jianhua","Alvarado","M"
295091,"Kiyokazu","Alvarado","M"
74587,"Matk","Alvarado","F"
276128,"Mohan","Alvarado","M"
493454,"Muzhong","Alvarado","M"
201925,"Persi","Alvarado","M"
34586,"Qunsheng","Alvarado","F"
243078,"Randy","Alvarado","M"
17801,"Taegyun","Alvarado","F"
62842,"Ulises","Alvarado","F"
418675,"Adin","Ambroszkiewicz","M"
234978,"Akhilish","Ambroszkiewicz","F"
433469,"Barna","Ambroszkiewicz","F"
235094,"Bikash","Ambroszkiewicz","F"
80801,"Bluma","Ambroszkiewicz","M"
61068,"Dinkar","Ambroszkiewicz","F"
215658,"Falguni","Ambroszkiewicz","M"
19778,"Ferdinand","Ambroszkiewicz","F"
287624,"Francesca","Ambroszkiewicz","F"
84885,"Gaetan","Ambroszkiewicz","M"
85373,"Gennady","Ambroszkiewicz","M"
417571,"Geoffry","Ambroszkiewicz","M"
75964,"Greger","Ambroszkiewicz","M"
98173,"Irena","Ambroszkiewicz","F"
499671,"Jayesh","Ambroszkiewicz","M"
481984,"Jayesh","Ambroszkiewicz","M"
477251,"Jayson","Ambroszkiewicz","F"
41042,"Jiafu","Ambroszkiewicz","M"
73632,"Juichirou","Ambroszkiewicz","M"
98128,"Kazuhisa","Ambroszkiewicz","M"
480166,"Kazuyasu","Ambroszkiewicz","M"
17377,"Kien","Ambroszkiewicz","F"
476529,"Kiyotoshi","Ambroszkiewicz","F"
48258,"Leif","Ambroszkiewicz","M"
244027,"Macha","Ambroszkiewicz","F"
260048,"Magdalena","Ambroszkiewicz","F"
98190,"Masako","Ambroszkiewicz","M"
276290,"Mayuko","Ambroszkiewicz","F"
256401,"Moriyoshi","Ambroszkiewicz","F"
76142,"Nikolaos","Ambroszkiewicz","F"
71336,"Parviz","Ambroszkiewicz","M"
409307,"Shai","Ambroszkiewicz","F"
416924,"Vishwani","Ambroszkiewicz","F"
429513,"Wanqing","Ambroszkiewicz","M"
443145,"Weiwu","Ambroszkiewicz","M"
89774,"Adhemar","Anandan","F"
479867,"Akemi","Anandan","F"
43480,"Arco","Anandan","F"
108250,"Augustine","Anandan","M"
215460,"Eberhardt","Anandan","F"
57288,"Elvis","Anandan","F"
277946,"Gonzalo","Anandan","F"
82950,"Guenter","Anandan","M"
464456,"Hyuncheol","Anandan","M"
201047,"Karoline","Anandan","M"
291385,"Khun","Anandan","F"
74583,"Malu","Anandan","M"
412012,"Mara","Anandan","F"
241952,"Maya","Anandan","M"
57554,"Moie","Anandan","M"
486582,"Naftali","Anandan","M"
107130,"Nechama","Anandan","F"
451503,"Rance","Anandan","F"
16715,"Satosi","Anandan","F"
424476,"Spyrose","Anandan","F"
203207,"Stepehn","Anandan","M"
446487,"Uriel","Anandan","F"
30655,"Xuedong","Anandan","M"
446367,"Achilleas","Ananiadou","M"
431078,"Adib","Ananiadou","M"
227711,"Along","Ananiadou","M"
243780,"Arto","Ananiadou","M"
241885,"Bezalel","Ananiadou","F"
490241,"Deniz","Ananiadou","F"
466817,"Gadiel","Ananiadou","M"
469651,"Gaetan","Ananiadou","F"
91681,"Gennadi","Ananiadou","M"
241325,"Giordano","Ananiadou","F"
493829,"Girolamo","Ananiadou","F"
14454,"Gita","Ananiadou","F"
108375,"Greger","Ananiadou","M"
415157,"Insup","Ananiadou","M"
64699,"Jaana","Ananiadou","M"
105552,"Kellie","Ananiadou","F"
217561,"Kiyotoshi","Ananiadou","M"
450937,"Mahendra","Ananiadou","M"
491899,"Mary","Ananiadou","F"
407360,"Masamitsu","Ananiadou","M"
477750,"Seongbin","Ananiadou","M"
423634,"Spyrose","Ananiadou","M"
279858,"Szabolcs","Ananiadou","M"
455485,"Theron","Ananiadou","F"
422292,"Theron","Ananiadou","F"
69429,"Tooru","Ananiadou","M"
477396,"Willard","Ananiadou","F"
439086,"Yongdong","Ananiadou","M"
255168,"Ziva","Ananiadou","M"
80779,"Aamod","Andreotta","F"
469821,"Aluzio","Andreotta","M"
420737,"Becky","Andreotta","F"
52469,"Claude","Andreotta","M"
420523,"Danco","Andreotta","M"
451895,"Feiyu","Andreotta","F"
437092,"Gal","Andreotta","M"
91277,"Hauke","Andreotta","F"
30991,"Jaber","Andreotta","M"
458040,"JiYoung","Andreotta","F"
471343,"Mabo","Andreotta","F"
471235,"Maha","Andreotta","F"
272400,"Nishit","Andreotta","F"
53464,"Odoardo","Andreotta","M"
79233,"Prasadram","Andreotta","M"
224367,"Remzi","Andreotta","M"
269723,"Sachem","Andreotta","M"
441683,"Sanjai","Andreotta","M"
455454,"Shuho","Andreotta","F"
69453,"Temple","Andreotta","F"
108580,"Tiina","Andreotta","F"
78163,"Ult","Andreotta","F"
443539,"Vishu","Andreotta","F"
403959,"Aleksander","Androutsos","M"
426012,"Arunachalam","Androutsos","M"
422470,"Arvin","Androutsos","F"
290236,"Bodo","Androutsos","F"
17632,"Diederik","Androutsos","F"
236778,"Djelloul","Androutsos","F"
469300,"Fumitaka","Androutsos","M"
464242,"Gen","Androutsos","F"
417830,"Geoff","Androutsos","F"
428219,"Ghassan","Androutsos","F"
33814,"Hairong","Androutsos","F"
450656,"Heping","Androutsos","F"
427216,"Hugh","Androutsos","F"
50096,"Hyuckchul","Androutsos","M"
227256,"Jasminko","Androutsos","F"
434817,"JoAnna","Androutsos","M"
412427,"Kristen","Androutsos","F"
453020,"Marsja","Androutsos","M"
200625,"Masako","Androutsos","M"
86766,"Mong","Androutsos","M"
480150,"Munir","Androutsos","M"
85332,"Odoardo","Androutsos","F"
490539,"Ortrud","Androutsos","M"
480205,"Subhash","Androutsos","F"
461967,"Udo","Androutsos","M"
222132,"Ulises","Androutsos","M"
443557,"Ute","Androutsos","M"
277694,"Ute","Androutsos","M"
25869,"Weiyi","Androutsos","M"
494386,"Wojceich","Androutsos","M"
434826,"Zito","Androutsos","M"
455461,"Adam","Angel","M"
431403,"Aemilian","Angel","M"
470167,"Aloke","Angel","M"
442133,"Bernd","Angel","M"
37087,"Claudi","Angel","M"
455869,"Dipayan","Angel","M"
465401,"Edwin","Angel","M"
440725,"Fayez","Angel","F"
253621,"Gino","Angel","M"
493167,"Greger","Angel","M"
238255,"Hinrich","Angel","M"
91472,"Jordanka","Angel","M"
291549,"Kazuhito","Angel","F"
88807,"Kristine","Angel","F"
275200,"Lucian","Angel","M"
280076,"Nagui","Angel","M"
43291,"Pragnesh","Angel","M"
213565,"Przemyslawa","Angel","F"
47304,"Rosita","Angel","F"
271980,"Shigenori","Angel","F"
225307,"Shiv","Angel","M"
239028,"Surveyors","Angel","F"
430052,"Tsutomu","Angel","F"
34722,"Tze","Angel","F"
23694,"Ugo","Angel","M"
28685,"Valery","Angel","M"
63191,"Vincent","Angel","F"
244687,"Vitaly","Angel","F"
86473,"Weijing","Angel","F"
41513,"Adly","Angelopoulos","M"
17124,"Amabile","Angelopoulos","F"
454626,"Aran","Angelopoulos","M"
273385,"Arumugam","Angelopoulos","M"
446623,"Beshir","Angelopoulos","M"
294492,"Eishiro","Angelopoulos","F"
400335,"Ennio","Angelopoulos","M"
45498,"Georg","Angelopoulos","M"
495267,"Giordano","Angelopoulos","F"
434298,"Guenter","Angelopoulos","F"
298390,"Guiseppe","Angelopoulos","F"
422195,"Guoxiang","Angelopoulos","F"
234129,"Jaihie","Angelopoulos","M"
275898,"Jessie","Angelopoulos","M"
216146,"Kazuyasu","Angelopoulos","F"
447003,"Leen","Angelopoulos","M"
43222,"Lenore","Angelopoulos","M"
260904,"Lobel","Angelopoulos","M"
230691,"Mantis","Angelopoulos","F"
230986,"Mantis","Angelopoulos","M"
75305,"Manu","Angelopoulos","F"
436780,"Manu","Angelopoulos","M"
206407,"Miyeon","Angelopoulos","F"
247010,"Mohua","Angelopoulos","M"
17986,"Oguz","Angelopoulos","M"
17690,"Panayotis","Angelopoulos","F"
486562,"Radoslaw","Angelopoulos","F"
215123,"Sangeeta","Angelopoulos","M"
207526,"Satoru","Angelopoulos","F"
487806,"Shigehiro","Angelopoulos","M"
493214,"Snehasis","Angelopoulos","M"
461881,"Somnath","Angelopoulos","M"
481525,"Stabislas","Angelopoulos","F"
227659,"Takahira","Angelopoulos","M"
200473,"Xiahua","Angelopoulos","M"
496326,"Xuejun","Angelopoulos","M"
265903,"Abdelkader","Angelov","F"
412511,"Abdulah","Angelov","M"
55826,"Akemi","Angelov","M"
448841,"Berni","Angelov","F"
410001,"Boutros","Angelov","F"
90092,"Candida","Angelov","F"
85599,"Charmane","Angelov","F"
295916,"Eberhardt","Angelov","M"
434206,"Elrique","Angelov","F"
38763,"Froduald","Angelov","M"
464304,"Guadalupe","Angelov","M"
246040,"Jackson","Angelov","M"
470524,"Jinya","Angelov","F"
53868,"Jixiang","Angelov","F"
103823,"Jolita","Angelov","M"
485044,"Josyula","Angelov","F"
204520,"Kwee","Angelov","M"
95371,"Maik","Angelov","M"
270590,"Morris","Angelov","M"
493440,"Oscal","Angelov","M"
236686,"Palash","Angelov","F"
89480,"Palash","Angelov","F"
422253,"Prodip","Angelov","M"
222563,"Radhakrishnan","Angelov","F"
213730,"Seongbin","Angelov","F"
27814,"Shigenori","Angelov","M"
467296,"Shuzo","Angelov","M"
473113,"Toshimitsu","Angelov","F"
62434,"Uta","Angelov","M"
93623,"Valdiodio","Angelov","M"
238422,"Vishv","Angelov","M"
278101,"Vitali","Angelov","M"
27516,"Yurij","Angelov","F"
493318,"Zhonghua","Angelov","M"
99613,"Ziyad","Angelov","F"
210739,"Alper","Anger","M"
225819,"Arvind","Anger","M"
220315,"Bedrich","Anger","M"
461700,"Dekang","Anger","M"
232927,"Ebru","Anger","M"
55400,"Eckart","Anger","F"
447320,"Geoffrey","Anger","M"
68365,"Girolamo","Anger","M"
33918,"Gunilla","Anger","M"
448538,"Gunilla","Anger","M"
67406,"Hidekazu","Anger","M"
291356,"Hironoby","Anger","M"
260602,"Kwangho","Anger","M"
22717,"Leif","Anger","M"
231851,"Lena","Anger","M"
24153,"Lidong","Anger","M"
478397,"Mary","Anger","M"
31425,"Mohammad","Anger","F"
24429,"Murthy","Anger","M"
459158,"Naftali","Anger","F"
